Region,Number of Families (In thousands),Total Income (In millions),Average Income (In thousands),Expenditure Total (In millions),Expenditure Average (In thousands)
National Capital Region (NCR),2917,1106169,379,947599,325
Cordillera Administrative Region (CAR),375,96351,257,70633,188
Region I (Ilocos Region),1105,225050,204,175220,159
Region II (Cagayan Valley),771,150089,195,107884,140
Region III (Central Luzon),2386,618893,259,503995,211
Region IV-A (CALABARZON),3082,876006,284,748129,243
MIMAROPA Region,638,114117,179,88215,138
Region V (Bicol Region),1165,189185,162,167256,144
Region VI (Western Visayas),1604,324028,202,260971,163
Region VII (Central Visayas),1577,329415,209,258635,164
Region VIII (Eastern Visayas),902,149493,166,118998,132
Region IX (Zamboanga Peninsula),772,124903,162,93829,122
Region X (Northern Mindanao),976,185015,190,139353,143
Region XI (Davao Region),1078,209405,194,167651,156
Region XII (SOCCSKSARGEN),988,160674,163,138089,140
Region XIII (Caraga),532,95809,180,75352,142
Autonomous Region in Muslim Mindanao (ARMM),557,72196,130,63506,114
